estu_consecutivo.1;estu_exterior;periodo;estu_tieneetnia;estu_tomo_cursopreparacion;estu_cursodocentesies;estu_cursoiesapoyoexterno;estu_cursoiesexterna;estu_simulacrotipoicfes;estu_actividadrefuerzoareas;estu_actividadrefuerzogeneric;fami_trabajolaborpadre;fami_trabajolabormadre;fami_numlibros;estu_inst_cod_departamento;estu_tipodocumento.1;estu_nacionalidad.1;estu_genero.1;estu_fechanacimiento.1;periodo.1;estu_estudiante.1;estu_pais_reside.1;estu_depto_reside.1;estu_cod_reside_depto.1;estu_mcpio_reside.1;estu_cod_reside_mcpio.1;estu_areareside;estu_valorpensioncolegio;fami_educacionpadre.1;fami_educacionmadre.1;fami_ocupacionpadre.1;fami_ocupacionmadre.1;fami_estratovivienda.1;fami_nivelsisben;fami_pisoshogar;fami_tieneinternet.1;fami_tienecomputador.1;fami_tienemicroondas;fami_tienehorno;fami_tieneautomovil.1;fami_tienedvd;fami_tiene_nevera.1;fami_tiene_celular.1;fami_telefono.1;fami_ingresofmiliarmensual;estu_trabajaactualmente;estu_antecedentes;estu_expectativas;cole_codigo_icfes;cole_cod_dane_establecimiento;cole_nombre_establecimiento;cole_genero;cole_naturaleza;cole_calendario;cole_bilingue;cole_caracter;cole_cod_dane_sede;cole_nombre_sede;cole_sede_principal;cole_area_ubicacion;cole_jornada;cole_cod_mcpio_ubicacion;cole_mcpio_ubicacion;cole_cod_depto_ubicacion;cole_depto_ubicacion;punt_lenguaje;punt_matematicas;punt_biologia;punt_quimica;punt_fisica;punt_ciencias_sociales;punt_filosofia;punt_ingles;desemp_ingles;profundiza;puntaje_prof;desemp_prof;exito
SB11201220290648;NO;20173;No;;;;;;;;;;MÁS DE 100 LIBROS;11;TI;COLOMBIA;M;29/1/1996;20122;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;250.000 o más;Educación profesional incompleta;Educación profesional completa;Empleado de nivel auxiliar o administrativo;Profesional independiente;Estrato 2;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;No;Si;Si;Si;Si;Si;Entre 5 y menos de 7 SMLV;Si, menos de 20 horas a la semana;No;;151068;3.11001E+11;COLEGIO AGUSTINIANO TAGASTE;MIXTO;NO OFICIAL;A;;ACADÉMICO;3.11001E+11;COLEGIO AGUSTINIANO TAGASTE - SEDE PRINCIPAL;S;URBANO;COMPLETA;11001;BOGOTÁ D.C.;11;BOGOTA;54;68;43;59;55;60;45;51;A1;PUNT_PROFUNDIZA_MATEMATICA;6;II;0
SB11201220197992;NO;20173;No;;;;;;;;;;11 A 25 LIBROS;54;TI;COLOMBIA;F;30/4/1996;20122;ESTUDIANTE;COLOMBIA;NORTE SANTANDER;54;SALAZAR;54660;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) completa;Postgrado;Empleado de nivel auxiliar o administrativo;Empleado de nivel técnico o profesional;Estrato 2;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;No;No;No;Si;Si;No;Entre 2 y menos de 3 SMLV;No;No;;33696;1.5466E+11;INST TECNICO NUESTRA SEÑORA DE BELEN;MIXTO;OFICIAL;A;N;TÉCNICO;1.5466E+11;INST TECNICO NTRA SRA DE BELEN;S;URBANO;COMPLETA;54660;SALAZAR;54;NORTE SANTANDER;61;58;54;47;50;52;50;57;A2;PUNT_PROFUNDIZA_LENGUAJE;6;II;1
SB11201320001166;NO;20183;No;;;;;;;;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;0 A 10 LIBROS;5;TI;COLOMBIA;F;26/9/1996;20132;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;MEDELLÍN;5001;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) completa;Técnica o tecnológica completa;Empleado de nivel técnico o profesional;Otra actividad u ocupación;Estrato 2;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;No;59;1.05001E+11;INST EDUC CEFA;FEMENINO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.05001E+11;INST EDUC CEFA;S;URBANO;MAÑANA;5001;MEDELLÍN;5;ANTIOQUIA;52;55;64;54;62;52;40;42;A-;PUNT_INTERDISC_MEDIOAMBIENTE;54;;1
SB11201220207988;;20143;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;TI;COLOMBIA;F;12/1/1996;20122;ESTUDIANTE;COLOMBIA;TOLIMA;73;LÍBANO;73411;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Hogar;Estrato 2;Nivel 1;Cemento, gravilla, ladrillo;No;No;No;No;No;Si;Si;Si;No;Menos de 1 SMLV;No;No;;26948;2.73411E+11;INSTITUCION EDUCATIVA INMACULADA CONCEPCION;MIXTO;OFICIAL;A;N;ACADÉMICO;2.73411E+11;I.E. INMACULADA CONCEPCION - SEDE PRINCIPAL;S;RURAL;MAÑANA;73411;LÍBANO;73;TOLIMA;52;58;56;55;50;52;39;65;B1;PUNT_INTERDISC_MEDIOAMBIENTE;56;;1
SB11201220451924;NO;20173;No;;;;;;;;;;0 A 10 LIBROS;23;TI;COLOMBIA;F;11/4/1996;20122;ESTUDIANTE;COLOMBIA;CORDOBA;23;LORICA;23417;Cabecera Municipal;No paga Pensión;Educación profesional completa;Secundaria (Bachillerato) completa;Otra actividad u ocupación;Otra actividad u ocupación;Estrato 1;Nivel 1;Cemento, gravilla, ladrillo;Si;Si;No;No;No;Si;Si;Si;No;Entre 2 y menos de 3 SMLV;No;No;;8094;1.23417E+11;IE LACIDES C. BERSAL;MIXTO;OFICIAL;A;N;ACADÉMICO;1.23417E+11;IE LACIDES C. BERSAL;S;URBANO;MAÑANA;23417;LORICA;23;CORDOBA;48;39;46;49;36;44;40;50;A1;PUNT_PROFUNDIZA_MATEMATICA;3;GB;0
SB11201220072793;NO;20163;No;;;;;;;;;;11 A 25 LIBROS;76;CC;COLOMBIA;M;30/7/1981;20122;ESTUDIANTE;COLOMBIA;HUILA;41;PITALITO;41551;Cabecera Municipal;Menos de 87.000;Primaria incompleta;Primaria completa;Trabajador por cuenta propia;Hogar;Estrato 1;Nivel 2;Cemento, gravilla, ladrillo;No;Si;No;No;No;No;Si;Si;No;Menos de 1 SMLV;Si, 20 horas o más a la semana;No;;101568;3.41551E+11;COLEGIO LATINOAMERICANO ANDRES BELLO CLAB;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.41551E+11;COELGIO LATINOAMERICANO ANDRES BELLO CLAB;S;URBANO;SABATINA;41551;PITALITO;41;HUILA;42;39;32;46;46;40;43;45;A1;PUNT_INTERDISC_MEDIOAMBIENTE;51;;0
SB11201320082571;NO;20173;No;;;;;;;;;;26 A 100 LIBROS;11;TI;COLOMBIA;M;17/3/1997;20132;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;250.000 o más;Postgrado;Técnica o tecnológica completa;Empleado de nivel directivo;Hogar;Estrato 4;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;10 o más SMLV;No;No;No;23101;3.11001E+11;COL CHAMPAGNAT                                                                                      ;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.11001E+11;COL CHAMPAGNAT;S;URBANO;COMPLETA;11001;BOGOTÁ, D.C.;11;BOGOTA;56;68;59;69;66;57;53;83;B+;PUNT_PROFUNDIZA_MATEMATICA;6;II;1
SB11201220103746;NO;20163;No;;;;;;;;;;26 A 100 LIBROS;5;TI;COLOMBIA;F;12/11/1995;20122;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;MEDELLÍN;5001;Cabecera Municipal;250.000 o más;Técnica o tecnológica completa;Técnica o tecnológica completa;Empleado de nivel auxiliar o administrativo;Empleado de nivel auxiliar o administrativo;Estrato 4;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;;125;3.05001E+11;COL CALASANZ FEMENINO;FEMENINO;NO OFICIAL;A;N;ACADÉMICO;3.05001E+11;COL CALASANZ FEMENINO;S;URBANO;COMPLETA;5001;MEDELLÍN;5;ANTIOQUIA;57;42;54;50;48;48;42;53;A2;PUNT_INTERDISC_VIOLENCIAYSOC;55;;1
SB11201320154022;NO;20173;No;;;;;;;;;;0 A 10 LIBROS;11;TI;COLOMBIA;M;29/4/1997;20132;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;Entre 120.000 y menos de 150.000;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Empleado de nivel auxiliar o administrativo;Hogar;Estrato 3;No está clasificada por el SISBEN;Cemento, gravilla, ladrillo;Si;Si;No;No;Si;No;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;No;123091;3.11001E+11;COLEGIO DOMINGO SAVIO BILINGUAL SCHOOL;MIXTO;NO OFICIAL;A;;ACADÉMICO;3.11001E+11;COLEGIO DOMINGO SAVIO BILINGUAL SCHOOL;S;URBANO;COMPLETA;11001;BOGOTÁ, D.C.;11;BOGOTA;47;58;51;47;59;46;46;60;A2;PUNT_PROFUNDIZA_MATEMATICA;6;II;1
SB11201220062331;NO;20183;No;;;;;;;;;;26 A 100 LIBROS;41;TI;COLOMBIA;M;10/6/1995;20122;ESTUDIANTE;COLOMBIA;HUILA;41;NEIVA;41001;Cabecera Municipal;250.000 o más;;;;Hogar;Estrato 1;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;;No;No;Si;No;Si;No;Si;Entre 2 y menos de 3 SMLV;No;No;;68254;3.41001E+11;COLEGIO COLOMBO INGLES DEL HUILA Y CIA LTDA;MIXTO;NO OFICIAL;A;S;ACADÉMICO;3.41001E+11;COLEGIO COLOMBO INGLES DEL HUILA Y CIA LTDA;S;URBANO;COMPLETA;41001;NEIVA;41;HUILA;52;64;60;62;61;54;45;65;B1;PUNT_PROFUNDIZA_BIOLOGIA;6;II;1
SB11201210058702;NO;20173;No;;Menos de 20 horas;Menos de 20 horas;Menos de 20 horas;No;Si;Si;;;11 A 25 LIBROS;11;TI;COLOMBIA;F;22/11/1995;20121;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;250.000 o más;Educación profesional completa;Educación profesional completa;Empleado con cargo como director o gerente general;Trabajador por cuenta propia;Estrato 4;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;;Si;Si;Si;Si;Si;10 o más SMLV;No;No;;36723;4.25175E+11;COL ROCHESTER                                                                                       ;MIXTO;NO OFICIAL;B;S;ACADÉMICO;4.25175E+11;COL ROCHESTER                                                                                       ;S;RURAL;COMPLETA;25175;CHÍA;25;CUNDINAMARCA;54;57;53;52;42;51;41;88;B+;PUNT_PROFUNDIZA_LENGUAJE;4;GB;1
SB11201220157504;NO;20183;No;;Entre 20 y 30 horas;Entre 20 y 30 horas;Entre 20 y 30 horas;Si;No;No;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;MÁS DE 100 LIBROS;5;TI;COLOMBIA;F;17/12/1995;20122;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;RIONEGRO;5615;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Trabajador por cuenta propia;Estrato 2;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;Si;Si;Si;Si;No;Entre 1 y menos de 2 SMLV;No;No;;24646;1.05615E+11;I. E. ESCUELA NORMAL SUPERIOR DE MARIA;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.05615E+11;I. E. ESCUELA NORMAL SUPERIOR DE MARIA;S;URBANO;COMPLETA;5615;RIONEGRO;5;ANTIOQUIA;52;49;43;51;35;33;30;48;A1;PUNT_INTERDISC_VIOLENCIAYSOC;34;;0
SB11201310003373;NO;20183;No;;;;;;;;Es operario de máquinas o conduce vehículos (taxita, chofer);No aplica;11 A 25 LIBROS;11;TI;COLOMBIA;F;30/8/1996;20131;ESTUDIANTE;COLOMBIA;VALLE;76;CALI;76001;Cabecera Municipal;Entre 120.000 y menos de 150.000;Técnica o tecnológica completa;Secundaria (Bachillerato) incompleta;Empleado de nivel técnico o profesional;Empleado obrero u operario;Estrato 2;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;Si;No;Si;Si;Si;No;Entre 2 y menos de 3 SMLV;No;No;No;53058;3.76001E+11;LA PRESENTACION EL PARAISO;MIXTO;NO OFICIAL;B;N;TÉCNICO;3.76001E+11;LA PRESENTACION EL PARAISO;S;URBANO;COMPLETA;76001;CALI;76;VALLE;49;33;33;38;28;42;40;48;A1;PUNT_PROFUNDIZA_LENGUAJE;5;I;0
SB11201210037433;;20143;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;76;TI;COLOMBIA;M;6/2/1997;20121;ESTUDIANTE;COLOMBIA;VALLE;76;CALI;76001;Cabecera Municipal;Entre 150.000 y menos de 250.000;Postgrado;Educación profesional completa;Profesional independiente;Pequeño empresario;Estrato 3;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;;Si;Si;Si;Si;Si;10 o más SMLV;No;No;;31468;3.76001E+11;COLEGIO LOS ANDES;MIXTO;NO OFICIAL;B;N;ACADÉMICO;3.76001E+11;COLEGIO LOS ANDES;S;URBANO;MAÑANA;76001;CALI;76;VALLE;54;43;63;59;69;45;43;61;A2;PUNT_PROFUNDIZA_BIOLOGIA;6;I;1
SB11201220027691;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;CC;COLOMBIA;M;16/7/1993;20122;ESTUDIANTE;COLOMBIA;SANTANDER;68;SUAITA;68770;Area Rural;No paga Pensión;Primaria completa;Primaria completa;Trabajador por cuenta propia;Hogar;Estrato 1;Nivel 1;Cemento, gravilla, ladrillo;No;No;No;No;No;No;No;Si;No;Menos de 1 SMLV;No;No;;;1.6877E+11;COLEGIO LUIS ALBERTO ACU¿A;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.6877E+11;COLEGIO LUIS ALBERTO ACUÑA;S;RURAL;MAÑANA;68770;SUAITA;68;SANTANDER;50;55;49;48;46;42;37;40;A-;PUNT_INTERDISC_MEDIOAMBIENTE;53;;1
SB11201220102779;NO;20163;No;;;;;;;;;;26 A 100 LIBROS;5;TI;COLOMBIA;F;29/12/1995;20122;ESTUDIANTE;COLOMBIA;ANTIOQUIA;5;MEDELLÍN;5001;Cabecera Municipal;No paga Pensión;Educación profesional incompleta;Técnica o tecnológica completa;Trabajador por cuenta propia;Pequeño empresario;Estrato 3;Nivel 3;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;No;Si;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;No;;59;1.05001E+11;INST EDUC CEFA;FEMENINO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.05001E+11;INST EDUC CEFA;S;URBANO;MAÑANA;5001;MEDELLÍN;5;ANTIOQUIA;50;43;52;41;48;44;34;70;B1;PUNT_INTERDISC_VIOLENCIAYSOC;52;;1
SB11201320114006;NO;20183;No;;;;;;;;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);11 A 25 LIBROS;11;TI;COLOMBIA;M;14/11/1996;20132;ESTUDIANTE;COLOMBIA;CUNDINAMARCA;25;VIOTÁ;25878;Cabecera Municipal;No paga Pensión;Postgrado;Técnica o tecnológica incompleta;Empleado de nivel técnico o profesional;Empleado de nivel técnico o profesional;Estrato 2;Nivel 2;Cemento, gravilla, ladrillo;Si;Si;No;Si;No;Si;Si;Si;No;Entre 3 y menos de 5 SMLV;No;No;No;24968;1.25878E+11;INSTITUCION EDUCATIVA DEPTAL. FRANCISCO JOSE DE CALDAS;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.25878E+11;COLEGIO FRANCISCO JOSE DE CALDAS;S;URBANO;MAÑANA;25878;VIOTÁ;25;CUNDINAMARCA;54;44;49;45;44;49;46;43;A1;PUNT_PROFUNDIZA_CSOCIALES;5;I;0
SB11201220263527;NO;20173;No;;;;;;;;;;0 A 10 LIBROS;8;TI;COLOMBIA;M;12/1/1996;20122;ESTUDIANTE;COLOMBIA;ATLANTICO;8;BARRANQUILLA;8001;Cabecera Municipal;250.000 o más;No sabe;Educación profesional completa;Empleado de nivel auxiliar o administrativo;Hogar;Estrato 4;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;No;No;Si;No;No;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;Si;;3053;3.08001E+11;COLEGIO AMERICANO DE BARRANQUILLA;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.08001E+11;COL AMERICANO DE BARRANQUILLA;S;URBANO;COMPLETA;8001;BARRANQUILLA;8;ATLANTICO;50;58;58;54;61;54;37;83;B+;PUNT_PROFUNDIZA_LENGUAJE;7;II;1
SB11201220573400;NO;20183;No;;;;;;;;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);11 A 25 LIBROS;11;TI;COLOMBIA;M;12/4/1996;20122;ESTUDIANTE;COLOMBIA;CESAR;20;AGUACHICA;20011;Cabecera Municipal;Entre 87.000 y menos de 120.000;Primaria completa;Primaria completa;Otra actividad u ocupación;Otra actividad u ocupación;Estrato 2;Nivel 2;Tierra, arena;No;No;No;Si;No;Si;No;Si;No;Menos de 1 SMLV;Si, menos de 20 horas a la semana;No;;143503;3.20011E+11;COLEGIO PARA LA REINTEGRACION INTELECTUAL DEL ORIENTE CORPORIENTE;MIXTO;NO OFICIAL;A;;ACADÉMICO;3.20011E+11;COLEGIO PARA LA REINTEGRACION INTELECTUAL DEL ORIENTE CORPORIENTE - SEDE PRINCIPAL;S;URBANO;SABATINA;20011;AGUACHICA;20;CESAR;42;38;46;43;42;33;34;47;A1;PUNT_PROFUNDIZA_MATEMATICA;4;GB;0
SB11201320110567;NO;20173;No;;;;;;;;;;11 A 25 LIBROS;11;TI;COLOMBIA;F;2/7/1996;20132;ESTUDIANTE;COLOMBIA;TOLIMA;73;MELGAR;73449;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) completa;Primaria completa;Empleado de nivel técnico o profesional;Hogar;Estrato 2;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;Si;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;No;No;16444;1.73449E+11;INSTITUCION EDUCATIVA TECNICA SUMAPAZ;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.73449E+11;I.E.T. SUMAPAZ - SEDE PRINCIPAL;S;URBANO;MAÑANA;73449;MELGAR;73;TOLIMA;50;43;34;41;50;42;33;46;A1;PUNT_INTERDISC_VIOLENCIAYSOC;45;;0
SB11201220098507;NO;20163;No;;;;;;;;;;MÁS DE 100 LIBROS;50;TI;COLOMBIA;F;18/6/1996;20122;ESTUDIANTE;COLOMBIA;META;50;ACACÍAS;50006;Cabecera Municipal;No paga Pensión;Primaria incompleta;Secundaria (Bachillerato) incompleta;Trabajador por cuenta propia;Hogar;Estrato 1;Nivel 1;Cemento, gravilla, ladrillo;No;No;No;No;No;Si;Si;Si;No;Entre 1 y menos de 2 SMLV;No;No;;11056;1.50006E+11;IE PABLO EMILIO RIVEROS;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.50006E+11;SEDE PRINCIPAL PABLO EMILIO RIVEROS;S;URBANO;MAÑANA;50006;ACACÍAS;50;META;44;53;48;54;48;56;34;40;A-;PUNT_INTERDISC_VIOLENCIAYSOC;63;;0
SB11201320433411;;20152;;;;;;;;;;;;11;TI;COLOMBIA;F;4/9/1996;20132;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;No paga Pensión;No sabe;Ninguno;Otra actividad u ocupación;Trabajador por cuenta propia;Estrato 1;Nivel 1;Cemento, gravilla, ladrillo;No;No;No;No;No;Si;Si;Si;No;Entre 1 y menos de 2 SMLV;Si, menos de 20 horas a la semana;No;No;122390;1.11001E+11;COLEGIO PAULO VI (IED);MIXTO;OFICIAL;A;;ACADÉMICO;1.11001E+11;CENT EDUC DIST PAULO VI;S;URBANO;MAÑANA;11001;BOGOTÁ, D.C.;11;BOGOTA;52;50;42;57;47;46;48;47;A1;PUNT_INTERDISC_VIOLENCIAYSOC;45;;0
SB11201220235047;NO;20183;No;;;;;;;;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;0 A 10 LIBROS;11;TI;COLOMBIA;M;16/12/1994;20122;ESTUDIANTE;COLOMBIA;VALLE;76;CARTAGO;76147;Cabecera Municipal;No paga Pensión;Primaria completa;Primaria completa;Trabajador por cuenta propia;Hogar;Estrato 2;Nivel 1;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;Si;No;Si;Si;Si;No;Menos de 1 SMLV;No;No;;24364;1.76147E+11;ACADEMICO;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1.76147E+11;NACIONAL ACADEMICO;S;URBANO;TARDE;76147;CARTAGO;76;VALLE;52;55;50;47;50;42;37;42;A-;PUNT_PROFUNDIZA_LENGUAJE;5;I;0
SB11201320238944;NO;20183;No;;;;;;;;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);0 A 10 LIBROS;11;TI;COLOMBIA;F;25/2/1997;20132;ESTUDIANTE;COLOMBIA;HUILA;41;NEIVA;41001;Cabecera Municipal;250.000 o más;Educación profesional completa;Técnica o tecnológica incompleta;Empleado de nivel técnico o profesional;Hogar;Estrato 2;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;No;No;No;No;No;No;Si;Si;No;Entre 1 y menos de 2 SMLV;No;No;No;9753;3.41001E+11;COL DE LA PRESENTACION;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.41001E+11;COL DE LA PRESENTACION;S;URBANO;COMPLETA;41001;NEIVA;41;HUILA;58;46;49;43;44;47;46;43;A-;PUNT_PROFUNDIZA_BIOLOGIA;6;I;0
SB11201320380983;NO;20163;No;;;;;;;;;;0 A 10 LIBROS;11;TI;COLOMBIA;F;28/10/1996;20132;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Otra actividad u ocupación;Otra actividad u ocupación;Estrato 2;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;No;Si;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;No;No;115964;1.11001E+11;COLEGIO REPUBLICA DE MEXICO (IED);MIXTO;OFICIAL;A;N;ACADÉMICO;1.11001E+11;CENT EDUC DIST REP DE MEXICO;S;URBANO;MAÑANA;11001;BOGOTÁ, D.C.;11;BOGOTA;54;55;49;56;62;56;56;50;A1;PUNT_INTERDISC_VIOLENCIAYSOC;59;;0
SB11201220319658;NO;20183;No;;;;;;;;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;26 A 100 LIBROS;11;TI;COLOMBIA;M;19/10/1996;20122;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;Entre 120.000 y menos de 150.000;Educación profesional completa;Secundaria (Bachillerato) completa;Empresario;Empresario;Estrato 3;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;No;Si;No;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;No;;23580;3.11001E+11;INST SUP COOPERATIVO                                                                                ;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.11001E+11;INST SUP COOPERATIVO;S;URBANO;MAÑANA;11001;BOGOTÁ D.C.;11;BOGOTA;58;52;54;57;53;51;50;46;A1;PUNT_PROFUNDIZA_MATEMATICA;5;GB;1
SB11201320266464;NO;20183;No;;;;;;;;;;11 A 25 LIBROS;50;TI;COLOMBIA;F;8/9/1996;20132;ESTUDIANTE;COLOMBIA;META;50;VILLAVICENCIO;50001;Cabecera Municipal;250.000 o más;Educación profesional completa;Educación profesional completa;Empresario;Profesional Independiente;Estrato 5;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 5 y menos de 7 SMLV;No;No;No;113845;3.50001E+11;COL NRA SRA DE FATIMA;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3.50001E+11;COL NRA SRA DE FATIMA;S;URBANO;COMPLETA;50001;VILLAVICENCIO;50;META;40;57;47;43;44;44;37;45;A1;PUNT_PROFUNDIZA_LENGUAJE;5;I;0
SB11201220358603;NO;20183;No;;;;;;;;No aplica;Trabaja por cuenta propia (por ejemplo plomero, electricista);11 A 25 LIBROS;11;TI;COLOMBIA;M;28/6/1996;20122;ESTUDIANTE;COLOMBIA;BOGOTA;11;BOGOTÁ D.C.;11001;Cabecera Municipal;No paga Pensión;Primaria incompleta;Secundaria (Bachillerato) incompleta;Empleado obrero u operario;Otra actividad u ocupación;Estrato 2;No está clasificada por el SISBEN;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;Si;Si;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;No;;126201;1.11001E+11;INST EDUC DIST FE Y ALEGRIA JOSE MARIA VELAZ;MIXTO;OFICIAL;A;;ACADÉMICO;1.11001E+11;COLEGIO JOSE MARIA VELAZ (IED);S;URBANO;COMPLETA;11001;BOGOTÁ D.C.;11;BOGOTA;53;61;47;49;57;44;46;46;A1;PUNT_INTERDISC_MEDIOAMBIENTE;55;;0
SB11201220020132;;20152;;No;No tomó Curso;No tomó Curso;No tomó curso;No;No;No;;;;11;TI;COLOMBIA;F;19/1/1996;20122;ESTUDIANTE;COLOMBIA;SANTANDER;68;GIRÓN;68307;Cabecera Municipal;No paga Pensión;Secundaria (Bachillerato) completa;Técnica o tecnológica completa;Empleado obrero u operario;Hogar;Estrato 2;Nivel 2;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;No;;30395;1.68307E+11;COLEGIO SAN JUAN DE GIRON;MIXTO;OFICIAL;A;N;ACADÉMICO;1.68307E+11;COLEGIO SAN JUAN DE GIRON;S;URBANO;MAÑANA;68307;GIRÓN;68;SANTANDER;55;39;59;46;33;38;46;43;A-;PUNT_INTERDISC_MEDIOAMBIENTE;54;;1
